text,date,likes
"У Мінфіні розповіли, скільки коштів та на що витратили з бюджету від початку року.

#новини #uazmi #війна-в-україні #економіка

У квітні видатки загального фонду державного бюджету становили 329,9 млрд грн.

Детальніше тут 👇

https://t.co/FoeuGkTO4s https://t.co/nPVBwBwUjP",2025-05-24 08:00:29+00:00,0
"RT @WendenGall: Ваші діти мають вмирати за наших дітей століттями! –– каже заступник голови Офіса президента #Україна.

Ми, ваші аристократ…",2025-05-24 08:00:02+00:00,0
RT @U_Tribune: Формально МП нібито не має жодних прав на перебування на території Лаври – але їхні представники там досі живуть і служать –…,2025-05-24 07:53:41+00:00,0
"RT @NPU_GOV_UA: #Київ. 15 постраждалих внаслідок нічної атаки рф: поліція працює на місці ворожих влучань

https://t.co/nx73zzQ0c7 https://…",2025-05-24 07:52:04+00:00,0
"#Київ 
Комбінований російський удар безпілотниками та балістикою 🤬
#Kyiv 
Combined russian strike with drones and ballistics 🤬
#russiaIsATerroristState https://t.co/Oj3tNgYvWF",2025-05-24 07:46:25+00:00,3
"RT @zn_ua: У Києві значно зросла кількість постраждалих унаслідок масованої комбінованої атаки росіян.

https://t.co/DFdWaNYtFF

#новини #К…",2025-05-24 07:45:43+00:00,0
"Щонайменше 14 людей поранено в результаті масованої російської атаки на Київ
#Україна #війна #обстріл #Київ #Дніпро #Запоріжжя #Одеса #Росія #дрон

https://t.co/4DBqTW2vOw",2025-05-24 07:44:06+00:00,0
"У Києві значно зросла кількість постраждалих унаслідок масованої комбінованої атаки росіян.

https://t.co/DFdWaNYtFF

#новини #Київ #обстріли https://t.co/np3RUDtG2L",2025-05-24 07:41:56+00:00,1
"🤿 Світовий рекорд з фрідайвінгу: українець з Енергодара вразив результатом в Афінах

#Україна #Спорт #Дайвінг https://t.co/LZm9UDV9jH",2025-05-24 07:41:36+00:00,0
"RT @FCShakhtar: 🤩 89 років історії ⚒️ З днем народження, «Шахтар»! 🧡

#Shakhtar #Україна https://t.co/iMWmm7ZMJy",2025-05-24 07:39:04+00:00,0
"RT @WendenGall: Ваші діти мають вмирати за наших дітей століттями! –– каже заступник голови Офіса президента #Україна.

Ми, ваші аристократ…",2025-05-24 07:33:46+00:00,0
RT @U_Tribune: Формально МП нібито не має жодних прав на перебування на території Лаври – але їхні представники там досі живуть і служать –…,2025-05-24 07:33:38+00:00,0
RT @U_Tribune: Формально МП нібито не має жодних прав на перебування на території Лаври – але їхні представники там досі живуть і служать –…,2025-05-24 07:33:31+00:00,0
"🧡 Президент ФК «Шахтар» Рінат Ахметов звернувся до вболівальників у день народження клубу ⚒️

https://t.co/dZTVmCAPDM

#Shakhtar #Україна",2025-05-24 07:31:04+00:00,0
"❗️ГУР зафіксувало понад 150 випадків страт росіянами українських полонених

#війна #Україна #UkraineRussiaWar  

https://t.co/E4UdSZIxcl",2025-05-24 07:25:34+00:00,0
